distance,dependant value
0.16999996,4000.0
0.16999996,2500.0
0.16999996,6800.0
0.8299999,4000.0
1.0,4000.0
1.0,2500.0
1.0,6000.0
1.0,2500.0
1.0,2500.0
1.0,4000.0
1.0,2500.0
1.25,2500.0
1.25,6000.0
1.25,5500.0
1.25,7500.0
1.25,4000.0
1.25,5500.0
1.25,7500.0
1.25,5400.0
1.5,5500.0
1.5,2500.0
1.5,2500.0
1.5,2500.0
1.5,2500.0
2.0,4000.0
2.0,5500.0
2.0,2500.0
2.0,7500.0
2.0,7500.0
2.0,5500.0
2.0,4000.0
2.0,2500.0
2.0,4000.0
2.17,4000.0
2.17,7500.0
2.5,4000.0
2.5,4000.0
2.5,6000.0
2.5,5500.0
2.5,5500.0
2.5,2500.0
2.5,6000.0
2.5,6000.0
2.5,4000.0
2.5,7500.0
2.5,6000.0
2.5,6000.0
2.5,2500.0
2.5,4100.0
Predicted regression value of Expected Graduation Salary based on 3 nearest neighbor for the given CurrentCGPA which is 1.5 is: 4433.3335
