currentcgpa,Standard scaling
currentcgpa: 
3.50 , 0.433654 
4.00 , 1.119106 
3.50 , 0.433654 
3.50 , 0.433654 
3.50 , 0.433654 
2.50 , -0.937251 
2.50 , -0.937251 
2.50 , -0.937251 
3.00 , -0.251799 
2.75 , -0.594525 
2.50 , -0.937251 
4.00 , 1.119106 
4.00 , 1.119106 
3.00 , -0.251799 
3.50 , 0.433654 
2.75 , -0.594525 
4.00 , 1.119106 
4.00 , 1.119106 
3.50 , 0.433654 
4.00 , 1.119106 
2.75 , -0.594525 
2.75 , -0.594525 
2.50 , -0.937251 
3.00 , -0.251799 
3.50 , 0.433654 
4.00 , 1.119106 
4.00 , 1.119106 
4.00 , 1.119106 
3.50 , 0.433654 
4.00 , 1.119106 
2.75 , -0.594525 
3.00 , -0.251799 
2.50 , -0.937251 
2.75 , -0.594525 
2.75 , -0.594525 
2.50 , -0.937251 
3.00 , -0.251799 
3.50 , 0.433654 
4.00 , 1.119106 
4.00 , 1.119106 
1.67 , -2.075102 
4.00 , 1.119106 
3.67 , 0.666707 
3.67 , 0.666707 
1.33 , -2.541210 
2.33 , -1.170305 
2.75 , -0.594525 
1.33 , -2.541210 
4.00 , 1.119106 
